sentID.BTEC,split,lang,sent
280,corpus-6-test-corpus-26-train,MOS,اغيد تمديد اربع وعشين، رجاءا.
285,corpus-6-test-corpus-26-train,MOS,هاي دولارين، احتفض بالباقي.
315,corpus-6-test-corpus-26-train,MOS,ويحد همبركر ويحد همبركر بالجبن، رجاءا.
319,corpus-6-test-corpus-26-train,MOS,اشقد تاخد اتعاب العملية؟
320,corpus-6-test-corpus-26-train,MOS,نغيد كل ويحد يدفع لوجبتو.
326,corpus-6-test-corpus-26-train,MOS,الموقع كان على كغسي بالبهو.
333,corpus-6-test-corpus-26-test,MOS,رجاءا غيرلي هذولي الينات الى جنيهات.
346,corpus-6-test-corpus-26-train,MOS,اغيد قاموس بحجم الجيب، رجاءا.
360,corpus-6-test-corpus-26-train,MOS,لشخصين بالسبعة، الاسم هو واتانبي.
368,corpus-6-test-corpus-26-train,MOS,ساعتي. هي كانت سايكو رقميي.
370,corpus-6-test-corpus-26-train,MOS,غاح يكون من سعادتنه انه نقدملك الشراب اللي تختارو، و وغانو عشا. الدليل الكامل للمشروبات اللي نقدما على هذي الرحلة موجود بدليل المعلومات بمجلتنه.
373,corpus-6-test-corpus-26-test,MOS,هل تعيش قغيب من هوني؟
375,corpus-6-test-corpus-26-train,MOS,وينو محل الهدايا؟
386,corpus-6-test-corpus-26-test,MOS,انا على الطريق السريع واحد قريب على خليج مارو.
391,corpus-6-test-corpus-26-train,MOS,اغيد منبه، رجاءا.
398,corpus-6-test-corpus-26-dev,MOS,بالمناسبة، اسمي هو هيروشي ايجيما.
401,corpus-6-test-corpus-26-dev,MOS,هذا القطار يقف عد بحيرة فوريست، مو تمام؟
408,corpus-6-test-corpus-26-train,MOS,معظم اليابانيين ياكلون الاخطبوط والحبار.
416,corpus-6-test-corpus-26-train,MOS,ممكن تذكرتين من الدرجة الثانية الى شيكاغو، رجاءا؟
419,corpus-6-test-corpus-26-train,MOS,غحتو الى نيويورك.
423,corpus-6-test-corpus-26-train,MOS,اشقد رقم الرحلة؟
442,corpus-6-test-corpus-26-test,MOS,ويحد لنيويورك، رجاءا.
446,corpus-6-test-corpus-26-train,MOS,تقريبا لشوية ايام.
447,corpus-6-test-corpus-26-train,MOS,الثاني على اليساغ.
471,corpus-6-test-corpus-26-dev,MOS,هذا الكارت، ماشي؟
488,corpus-6-test-corpus-26-train,MOS,هل هذا هو مكتب الاستقبال؟ اكو عيادة قغيبي؟
493,corpus-6-test-corpus-26-train,MOS,هل عشغ دولارات غاح تكفي بالتكسي؟
503,corpus-6-test-corpus-26-train,MOS,هذا طعمو غريب.
512,corpus-6-test-corpus-26-train,MOS,اي. انتظر، غاح اجيب ويحد الك.
516,corpus-6-test-corpus-26-train,MOS,نص بطل، رجاءا.
540,corpus-6-test-corpus-26-train,MOS,مو صحيح بالحقيقية، بس شي ما غالي.
548,corpus-6-test-corpus-26-train,MOS,عدوغ على شي؟
551,corpus-6-test-corpus-26-train,MOS,اربع ليالي.
553,corpus-6-test-corpus-26-train,MOS,اغيد شويه جويغب.
565,corpus-6-test-corpus-26-train,MOS,تطيق تعملو اغخص لان علينو شوية بقع؟
571,corpus-6-test-corpus-26-train,MOS,غجال انطخ بيي، بعدا لاحظتو انه محفضتي كن اختفت.
599,corpus-6-test-corpus-26-train,MOS,ما متاكد اذا حطيتو حواس تكفي لرحلة ثلاث اسابيع.
612,corpus-6-test-corpus-26-train,MOS,خوش، نغيد نجغب خمر ابيض.
631,corpus-6-test-corpus-26-train,MOS,اذا اي ويحد سال عني، قلولم غاح اكون بالجيخانه.
632,corpus-6-test-corpus-26-train,MOS,انا متأكد عندي هيا بالجيب الداخلي لكبوطي.
641,corpus-6-test-corpus-26-test,MOS,ممكن احصل على اسم ورقم الجهة اللي عتتصل علينا؟
643,corpus-6-test-corpus-26-train,MOS,هل شركة الخطوط الجويي غاح تدفعلي حتى اشتغي شويه حاجات شخصيي ضروريي؟
650,corpus-6-test-corpus-26-train,MOS,اغيد غرفة مع حمام.
652,corpus-6-test-corpus-26-dev,MOS,ولا شي طلع من المكينة؟
667,corpus-6-test-corpus-26-test,MOS,انت المفروض تركب بالرحلة ثمانميي وعشين، اللي اقلعت قبل خمسطعش دقيقة. مليح. اطيق ارتبلك رحلة غيغا.
673,corpus-6-test-corpus-26-train,MOS,ويحد فرغ الطرود مالتي.
679,corpus-6-test-corpus-26-test,MOS,اوه، هذا ولا شي. انت هوني، على كل حال.
680,corpus-6-test-corpus-26-train,MOS,الخطوط الجويي اليابانيي، رحلة رقم ميي وثلاثي وعشين.
681,corpus-6-test-corpus-26-train,MOS,احتاج اشتغي شامبو.
683,corpus-6-test-corpus-26-train,MOS,تطيق تقلي لمن نصل للمركز المدني؟
688,corpus-6-test-corpus-26-train,MOS,وين اقغب قصاب؟
703,corpus-6-test-corpus-26-train,MOS,نغيد نبقى اربع ليالي من اول يوم بشهغ اب.
708,corpus-6-test-corpus-26-train,MOS,اشنو اسم هذيك الوغداي؟
719,corpus-6-test-corpus-26-train,MOS,خمسطعش من شهر ايلول هو يوم احترام للشيخوخه.
723,corpus-6-test-corpus-26-train,MOS,ماكو صابون بغرفتي.
741,corpus-6-test-corpus-26-dev,MOS,اكو اي شي اطيق اخذو لهذا الطفح الجلدي؟
742,corpus-6-test-corpus-26-train,MOS,تطيق تغير الصياغة للشي اللي هسا قلتو؟
761,corpus-6-test-corpus-26-test,MOS,اشقد غاح تاخذ وقت حتى تطلب؟
773,corpus-6-test-corpus-26-train,MOS,تطيق تحكي شوية اعلى، رجاءا؟
777,corpus-6-test-corpus-26-train,MOS,اشقد وقت غاح يتطلب قبل ما يخرج؟
786,corpus-6-test-corpus-26-train,MOS,وين معلومات الرياضة؟
787,corpus-6-test-corpus-26-train,MOS,هذا الحجم هوني، اللي انت تسمينو حجم منتظم، غاح نعمل.
793,corpus-6-test-corpus-26-test,MOS,وين نهاية الجولة وايمتي؟
848,corpus-6-test-corpus-26-train,MOS,وين لازم اغير القطارات حتى اصل لادنبره؟
855,corpus-6-test-corpus-26-train,MOS,اغيد اخلي هذا بصندوق امانات.
859,corpus-6-test-corpus-26-train,MOS,وين اطيق احول فلوسي؟
897,corpus-6-test-corpus-26-train,MOS,ممكن نعوف شغلاتنه، عدا القيمي، بالباص؟
902,corpus-6-test-corpus-26-train,MOS,عدتسائل علمود اشنو هذا الرسم على فاتورتي.
917,corpus-6-test-corpus-26-train,MOS,غاح ادفع خمسين دولار.
941,corpus-6-test-corpus-26-train,MOS,هسا انا اعغف اشنو كان غلط.
957,corpus-6-test-corpus-26-dev,MOS,انا اكيدا عيحكي. عندي حجز طاولي بالستي ونص هالمسا. لكن انا اسف غاح اصل متأخر نص ساعه.
1003,corpus-6-test-corpus-26-train,MOS,كم اونصه معفيي من الضرايب اطيق احصل من العطر؟
1007,corpus-6-test-corpus-26-train,MOS,فقط سياحة.
1010,corpus-6-test-corpus-26-train,MOS,ماكو مشكلة، رجاءا وقعم. اشون تحبو يكون؟
1023,corpus-6-test-corpus-26-test,MOS,بعد عدكم مقاعد لعرض الليلي؟
1036,corpus-6-test-corpus-26-train,MOS,اغيد ويحد كبيغ.
1037,corpus-6-test-corpus-26-dev,MOS,نمتو خلال المنبه مال ستي ونص.
1038,corpus-6-test-corpus-26-train,MOS,انا مصور حر.
1047,corpus-6-test-corpus-26-train,MOS,التجار ممكن ايصرفون دولاراتك علمود بقشيش للكازينوز. نغوح؟
1056,corpus-6-test-corpus-26-dev,MOS,عدنه تقريبا ثلاثين نوع من دهون الحمام.
1062,corpus-6-test-corpus-26-train,MOS,غاح اجهز العرض الك الاسبوع اللي يجي.
1074,corpus-6-test-corpus-26-train,MOS,شكرا الك، اشقد سعر هذا الزوج من الكفوف؟
1098,corpus-6-test-corpus-26-train,MOS,لازم اغوح، غاح اخابرك بعدين.
1100,corpus-6-test-corpus-26-train,MOS,اغيد شويه حفاضات ام الاستخدام الويحد.
1122,corpus-6-test-corpus-26-train,MOS,وين نشأو اسماك الفراشه هذولي؟
1124,corpus-6-test-corpus-26-train,MOS,ممكن تحولم الى دولارات، رجاءا؟
1139,corpus-6-test-corpus-26-train,MOS,احنه كلش محضوضين. عندم ويحد حجم اربعه بمحل علا موانا.
1146,corpus-6-test-corpus-26-train,MOS,اكو اي ليموزين؟
1163,corpus-6-test-corpus-26-dev,MOS,ممكن احص على مخابره ساعه خمسي ونص غدا الصبح حتى اقعد؟
1165,corpus-6-test-corpus-26-train,MOS,افضل غرفة هاديي.
1167,corpus-6-test-corpus-26-train,MOS,اغيد مزيل مال صبغ الاضيفغ.
1183,corpus-6-test-corpus-26-train,MOS,اغيد باتري.
1193,corpus-6-test-corpus-26-test,MOS,اكو فرقه لايف او دي جي؟
1194,corpus-6-test-corpus-26-train,MOS,اطيق استأجر معدات مال الغطس؟
1199,corpus-6-test-corpus-26-dev,MOS,اغيد احجز غرفة لاربع ليالي من اثنين وعشرين كانون الاول.
1212,corpus-6-test-corpus-26-train,MOS,هل هاذي الجنطه مثاليي لكل الاحوال الجويي؟
1213,corpus-6-test-corpus-26-train,MOS,اغيد دونات وحدي، رجاءا.
1218,corpus-6-test-corpus-26-train,MOS,اغيد استاجر سيارة اتوماتيكي ليومين.
1224,corpus-6-test-corpus-26-train,MOS,فوتو رحلة عشرين لسانفراسيسكو.
1234,corpus-6-test-corpus-26-train,MOS,بشقد للمطار؟
1235,corpus-6-test-corpus-26-train,MOS,هذا مليح. ايمتي هو؟
1276,corpus-6-test-corpus-26-train,MOS,اشقد عمغ بنتك؟
1312,corpus-6-test-corpus-26-train,MOS,ممكمن تقلي على بعض الفنادق الغخيصة والنضيفي؟
1321,corpus-6-test-corpus-26-train,MOS,ممكن نحجزلك غرفة مريحة بقلعة قديمي قريب على نادي كولف مشهور.
1329,corpus-6-test-corpus-26-train,MOS,اوصي بهذا لانو مصنوع من مكونات طبيعي ميي بالميي.
1361,corpus-6-test-corpus-26-dev,MOS,هل يتوقف القطار ببرايتون؟
1369,corpus-6-test-corpus-26-train,MOS,ممكن تقلي وين اطيق احصل على تكسي؟
1375,corpus-6-test-corpus-26-train,MOS,بطاقتين درجة ثانية، رجاءا.
1384,corpus-6-test-corpus-26-train,MOS,اغيد ارسل فاكس.
1394,corpus-6-test-corpus-26-train,MOS,اغيد اوتي مال سفر.
1396,corpus-6-test-corpus-26-train,MOS,ممكن اقدملك اي شي؟
1404,corpus-6-test-corpus-26-train,MOS,يومي، اخاف اسأل، لكن اش تقصد؟
1418,corpus-6-test-corpus-26-train,MOS,اغيد ويحد من اللي يحوي اوراق حجم رساله اعتيادي بدون ان نطوييهم.
1433,corpus-6-test-corpus-26-test,MOS,اي، بس ما كلش قوي.
1434,corpus-6-test-corpus-26-train,MOS,انا عندي حساسية من البزيزين.
1436,corpus-6-test-corpus-26-train,MOS,اي، لازم يكون عندك اجازة سوق و، اه، لازم يكون عندك ترخيص من لجنة التكسي والليموزين.
1462,corpus-6-test-corpus-26-train,MOS,تفضل، سيدي.
1465,corpus-6-test-corpus-26-test,MOS,انا ما عدطيق احصل على ماي حاغ.
1474,corpus-6-test-corpus-26-train,MOS,اغيد احجز غرفه لهالليلي.
1492,corpus-6-test-corpus-26-train,MOS,لا، هذا يستثني الضرايب ورسم الخدمه.
1506,corpus-6-test-corpus-26-train,MOS,تغيد تغوح معاي نتسوق بعد الظهغ؟
1508,corpus-6-test-corpus-26-test,MOS,مرحبا، هذا الفستان من صدق حلو.
1519,corpus-6-test-corpus-26-train,MOS,هسا، اتصالك بدى. رجاءا تفضل.
1525,corpus-6-test-corpus-26-train,MOS,اشقد رقم البوابة؟
1539,corpus-6-test-corpus-26-train,MOS,اشني هيه الهديي النموذجي للهالوين؟
1556,corpus-6-test-corpus-26-train,MOS,اطيق اغوح هناك بقطار الانفاق؟
1560,corpus-6-test-corpus-26-train,MOS,اغيد مجفف شعر.
1562,corpus-6-test-corpus-26-train,MOS,هل غاح نصل لاي مكان اذا نتكلم بهالطريقة؟
1585,corpus-6-test-corpus-26-train,MOS,انا جيتو من النرويج.
1603,corpus-6-test-corpus-26-dev,MOS,من عشغه الى ادعش رجاءا.
1619,corpus-6-test-corpus-26-train,MOS,اكيد. خليني اشوفو. انت تاذيت بالمرجان، اتوقع.
1620,corpus-6-test-corpus-26-train,MOS,للاحتياط، خليني اخذ رقم الشخص المسؤول.
1622,corpus-6-test-corpus-26-train,MOS,اكو طريق سريع؟
1630,corpus-6-test-corpus-26-train,MOS,ليش ما جا للحفله البيحة؟
1637,corpus-6-test-corpus-26-train,MOS,اكو حادث اصطدام مروري.
1650,corpus-6-test-corpus-26-train,MOS,اسف، حصلتو على الرقم الغلط.
1653,corpus-6-test-corpus-26-test,MOS,رجاءا خلي رقمك التعريفي.
1663,corpus-6-test-corpus-26-dev,MOS,ما اطيق اعدل الصورة.
1668,corpus-6-test-corpus-26-train,MOS,لفة همبركر بالجبن وحدي مع عصير برتقال، رجاءا.
1670,corpus-6-test-corpus-26-test,MOS,هذا جواز سفري.
1682,corpus-6-test-corpus-26-test,MOS,ليش، شكرا جزيلا. اه، اطيق اصعد فوق للقمة؟
1702,corpus-6-test-corpus-26-train,MOS,اطيق احصل على تذكرتين للحفل الموسيقي الجمعه الجيي؟
1718,corpus-6-test-corpus-26-train,MOS,مسافر اخر هنوك قال يطيق غير مقعدو معالك.
1754,corpus-6-test-corpus-26-train,MOS,اطيق امدد اقامتي؟
1766,corpus-6-test-corpus-26-train,MOS,قللي، تعغف اي اي مكان يستحق الشوفي قغيب من هوني؟
1768,corpus-6-test-corpus-26-dev,MOS,لا، اغيد استاجر نصف مجموعة مضارب مع حذاء.
1782,corpus-6-test-corpus-26-train,MOS,تطيق تقلي ايمتي الجنطة المفقودي اتلقت؟
1788,corpus-6-test-corpus-26-train,MOS,اشنو اسم الحديقة الوطنيي؟
1791,corpus-6-test-corpus-26-train,MOS,صاغ عندي خدش.
1792,corpus-6-test-corpus-26-dev,MOS,وين مكان مليح للسياحة؟
1800,corpus-6-test-corpus-26-train,MOS,ممكن اخذ شوية فواكه؟
1834,corpus-6-test-corpus-26-train,MOS,ممكن اخذ الغدى هسه؟
1837,corpus-6-test-corpus-26-train,MOS,احتاج اصرف هالدولارات.
1867,corpus-6-test-corpus-26-train,MOS,احتاج تكسي. انا عد ساوث مين و ليبرتي.
1876,corpus-6-test-corpus-26-dev,MOS,بالتاكيد، هل تحتاج كيرلي؟
1878,corpus-6-test-corpus-26-train,MOS,هو مو تفاح لكن خوخ.
1903,corpus-6-test-corpus-26-train,MOS,غاح انطيك وصفه. خذا للصيدليي.
1927,corpus-6-test-corpus-26-train,MOS,احنه نطيغ ثلاث مرات بالاسبوع، الثلاثاء، الجمعه، والسبت.
1931,corpus-6-test-corpus-26-dev,MOS,هذا غالي، مو بله؟
1948,corpus-6-test-corpus-26-train,MOS,نعم، عدنهوه، غاح نجهزو الك.
1950,corpus-6-test-corpus-26-dev,MOS,ممكن تحتفظ بمتاعي حتى الساعه ثلاثي؟
1951,corpus-6-test-corpus-26-train,MOS,لا اغيد بس اخلينو بالداخل.
1954,corpus-6-test-corpus-26-dev,MOS,اطيق احجز اجر-سيارة هوني؟
1968,corpus-6-test-corpus-26-train,MOS,انت امريكي؟
1980,corpus-6-test-corpus-26-test,MOS,لهل مكان، رجاءا.
1985,corpus-6-test-corpus-26-train,MOS,سيارتي متوقفي.
1988,corpus-6-test-corpus-26-train,MOS,وين ظل العيون؟
1993,corpus-6-test-corpus-26-train,MOS,نغيد زاويه هاديي، رجاءا.
1997,corpus-6-test-corpus-26-train,MOS,هل هاذي التكسي ببلاش؟
1998,corpus-6-test-corpus-26-train,MOS,هل هذي محطة اكسبريس؟
2001,corpus-6-test-corpus-26-train,MOS,اي وقت لازم اجي؟
2003,corpus-6-test-corpus-26-train,MOS,اغيد قنينه صغيغي من النبيذ الابيض.
2005,corpus-6-test-corpus-26-train,MOS,اه، اطيق اخذ وجبتي بعدين؟ ما عدشعر مليح هسا.
2025,corpus-6-test-corpus-26-train,MOS,بالحقيقة، عندي اخبار، غاح اتزوج.
2033,corpus-6-test-corpus-26-train,MOS,اي سراويل اخرى؟
2035,corpus-6-test-corpus-26-train,MOS,اطيق احصل على برنامج؟
2052,corpus-6-test-corpus-26-train,MOS,ويحد اقتحم غرفتي البيحه بالليل.
2055,corpus-6-test-corpus-26-train,MOS,شوفني السمكي اللي شفتوهو بكتاب الصور، رجاءا.
2083,corpus-6-test-corpus-26-train,MOS,شوف التعليمات على حزمة الاكل المفرغة من الهوا.
2086,corpus-6-test-corpus-26-train,MOS,اغيد فلوس ورقيي.
2100,corpus-6-test-corpus-26-test,MOS,هو اخذ محفضتي وانهزم.
2119,corpus-6-test-corpus-26-train,MOS,ما عندك دروس تجريبيي؟
2147,corpus-6-test-corpus-26-train,MOS,وين اطيق اشتغي طوابع بريديي؟
2148,corpus-6-test-corpus-26-train,MOS,انا من برطانيا العظيمي.
2156,corpus-6-test-corpus-26-train,MOS,انا لازم اجيك هذا مع مغتي.
2161,corpus-6-test-corpus-26-train,MOS,اغيد احصل على تعويض لهذا.
2179,corpus-6-test-corpus-26-train,MOS,اكو صندوق تليفون قدام هذاك البنك.
2180,corpus-6-test-corpus-26-train,MOS,غاح اصل بالتاسع من اذار واغوح بالارباطعش.
2205,corpus-6-test-corpus-26-train,MOS,هذا شويه غالي، ما تعتقد؟
2235,corpus-6-test-corpus-26-train,MOS,هل عندك كعب؟
2236,corpus-6-test-corpus-26-train,MOS,وين محطة الباص؟
2238,corpus-6-test-corpus-26-train,MOS,هل تهتم بتحليه؟
2302,corpus-6-test-corpus-26-train,MOS,هل تحكي؟
2306,corpus-6-test-corpus-26-train,MOS,نفس الشي لليي، رجاءا.
2318,corpus-6-test-corpus-26-train,MOS,الاكبر مالتي ما وصل.
2324,corpus-6-test-corpus-26-train,MOS,اكو كثيغ ينابيع حاغه.
2329,corpus-6-test-corpus-26-train,MOS,رجاءا حول خمسين الف ين لدولارات امريكيي.
2338,corpus-6-test-corpus-26-train,MOS,هذا مليح بالنسبه لليي. بالحقيقه انا اغيد ادخن.
2347,corpus-6-test-corpus-26-test,MOS,وين اكدر اشتري اشياء التزلج واحذية؟
2353,corpus-6-test-corpus-26-dev,MOS,هل نسيت مشروباتنه؟
2368,corpus-6-test-corpus-26-test,MOS,هل تطيق ترسلو لعنواني باليابان ببريد الطرود الدولي عليي؟
2381,corpus-6-test-corpus-26-train,MOS,اغيد كلاص من الخمر الاحمر.
2389,corpus-6-test-corpus-26-train,MOS,بس اذا كانت ملكك، سيدي. ههه-ههه، بس نكته زغيغي.
2401,corpus-6-test-corpus-26-train,MOS,بالتاكيد، اشون نطيق نخدمك؟
2412,corpus-6-test-corpus-26-dev,MOS,عدنه بيره، ويسكي، براندي، جين، فودكا، و خمر.
2425,corpus-6-test-corpus-26-train,MOS,بطاقة تعريفية. اه، تمام. هل جواز السفر اوكي؟
2428,corpus-6-test-corpus-26-train,MOS,رقم غرفتي هو ثلاثي ستي و عشيين. هل تطيق حواس الغسيل مالتي؟
2440,corpus-6-test-corpus-26-train,MOS,غاح اشوف اذا اي وحدي من هذولي ترهم.
2441,corpus-6-test-corpus-26-train,MOS,اغيد كتلي.
2445,corpus-6-test-corpus-26-train,MOS,جيبلي شويه جبن مبشور.
2462,corpus-6-test-corpus-26-train,MOS,اطيق احصل على تيشيرتي مغسول غدا الصبح؟
2476,corpus-6-test-corpus-26-train,MOS,تطيق تخلينو يخابرني؟
2490,corpus-6-test-corpus-26-train,MOS,ليش لعد؟
2492,corpus-6-test-corpus-26-train,MOS,عفواً، اكو مكتبه قغيبي على هوني؟
2496,corpus-6-test-corpus-26-test,MOS,اعتقد انه انت اعملت خطأ. الغرفه كانت مجهزي. عندي وصل.
2505,corpus-6-test-corpus-26-train,MOS,الباص هنوك.
2516,corpus-6-test-corpus-26-train,MOS,اغيد لفتين ايزو ميي، فلم ملون، ستي وثلاثين لقطه، رجاءاً.
2519,corpus-6-test-corpus-26-train,MOS,اغيد احرر هذا الشيك لسبعين دولار.
2521,corpus-6-test-corpus-26-train,MOS,اغيد اشتغي طوابع بريديي لعشغ كارتات بريديي الى اليابان، رجاءاً.
2528,corpus-6-test-corpus-26-train,MOS,اكو اي بنك قغيب على المحطه؟
2531,corpus-6-test-corpus-26-train,MOS,اخاف انو اكو خطأ بالفاتوره.
2552,corpus-6-test-corpus-26-test,MOS,هذا صحيح هوني.
2557,corpus-6-test-corpus-26-train,MOS,ويحد بركر مع الجبن اخذو معاي، رجاءاً.
2578,corpus-6-test-corpus-26-test,MOS,ما تطييق من صدق انو تعمل تصميم بلا ما تستخدم الكومبيوتر بعد.
2591,corpus-6-test-corpus-26-train,MOS,اركض.
2601,corpus-6-test-corpus-26-train,MOS,اكو شق هوني ببلوزي. عدتسائل اذا تطيق تخيطو ليي، رجاءاً؟
2613,corpus-6-test-corpus-26-dev,MOS,اشقد الاجره الى ماشستر؟
2643,corpus-6-test-corpus-26-train,MOS,تطيق اتديني كيبل مال مسرع؟
2644,corpus-6-test-corpus-26-train,MOS,وين اطيق اشتغي حصيرة مال شاطئ؟
2670,corpus-6-test-corpus-26-test,MOS,لعد، رجاءا انطيني حجز جديد.
2676,corpus-6-test-corpus-26-train,MOS,انطيني هذيك الستيك مال خنزير، بس مو بثخنها.
2678,corpus-6-test-corpus-26-train,MOS,غاح نجي بالسبعة.
2687,corpus-6-test-corpus-26-train,MOS,من اشوف الاسعار بهالغخص، يبين مثير للسخرية شراء اي شي باليابان.
2690,corpus-6-test-corpus-26-train,MOS,محفوضاتي مسروقة، ايضاً.
2695,corpus-6-test-corpus-26-train,MOS,قمع موطا فانيلا، رجاءا.
2702,corpus-6-test-corpus-26-train,MOS,اتفق، لازم يصيغ كلش طبيعي.
2704,corpus-6-test-corpus-26-train,MOS,دير بالك من الحفغه، دير بالك من الحفغه، بعدين قغيب من الابواب، رجاءا.
2707,corpus-6-test-corpus-26-train,MOS,غاح احتاج بطاقة ائتمان.
2708,corpus-6-test-corpus-26-dev,MOS,هيانو الرقم.
2715,corpus-6-test-corpus-26-test,MOS,قلي على بقعه مليحة بهالنهر، رجاءا.
2726,corpus-6-test-corpus-26-train,MOS,رجاءا انطيني تقرير حادث.
2729,corpus-6-test-corpus-26-train,MOS,لا، شكرا بس هسا.
2734,corpus-6-test-corpus-26-train,MOS,اوكي، رجاءا ابقى على الخط. سيد نكاجيما، الانسه سايتو ما مبين عتجاوب الاتصال. تغيدني اتصل بيها بعد فتره اطول؟
2736,corpus-6-test-corpus-26-dev,MOS,ممكن، بس لازم نوزنم منفصلين.
2747,corpus-6-test-corpus-26-train,MOS,يبين شويه كلش نادر.
2748,corpus-6-test-corpus-26-train,MOS,وين استلام الامتعه مال رحلة سبعميي وثلاثه؟
2760,corpus-6-test-corpus-26-train,MOS,اكو شي غلط بالقبضة مالتك.
2765,corpus-6-test-corpus-26-train,MOS,هل هذا يفسد؟
2772,corpus-6-test-corpus-26-train,MOS,لا، شكرا . من الاحسن انو ما اشغب بعد.
2808,corpus-6-test-corpus-26-train,MOS,رجاءا قللي على شويه شوارع ملائمة للتسوق.
2811,corpus-6-test-corpus-26-dev,MOS,هل هذا الباص يغوح على فندق الهلتون؟
2816,corpus-6-test-corpus-26-train,MOS,الان، هذي اللوحة كلش خاصة. هي مال تسوروتارو كاتاوكا. هو معرف كفنان عالمي.
2850,corpus-6-test-corpus-26-train,MOS,انا عندي تقدير عظيم للموسيقى الكلاسيكي.
2851,corpus-6-test-corpus-26-dev,MOS,اطيق اعزمك بغى على عشا فغد وقت؟
2862,corpus-6-test-corpus-26-train,MOS,مليح. اشنو اسم الشخص مالك ورقم تليفونو، رجاءا.
2871,corpus-6-test-corpus-26-train,MOS,العفو، خليني اطلع، رجاءاً.
2878,corpus-6-test-corpus-26-train,MOS,اتطيق تخبر على كادر يحكي ياباني؟
2898,corpus-6-test-corpus-26-train,MOS,نحنه نزور كرايبنه كلش كثيغ.
2939,corpus-6-test-corpus-26-train,MOS,ميكي هاياكاوا. هذي غرفة رقم سبعميي واثنين.
2945,corpus-6-test-corpus-26-train,MOS,لازم ابقى هوني هالليلي، ما تمام؟ اتطيق تساعدني احجز غرفة فندق؟
2947,corpus-6-test-corpus-26-train,MOS,ما المفروض تطوول. خمسطعش دقيقه بالكثيغ.
2960,corpus-6-test-corpus-26-train,MOS,ممكن تقلي تكلفة هذا الاتصال؟
2964,corpus-6-test-corpus-26-train,MOS,خوش، اتطيق تقلا انا اتصلتو، رجاءا. انا غاح اتصل بيها مره اللخ بعدين.
2973,corpus-6-test-corpus-26-train,MOS,هل اكو اي جوله صباحيي؟
2982,corpus-6-test-corpus-26-train,MOS,هل تصرف عملات اجنبيي؟
